"id","detected_at","service","rule","score","sample_log_id","sample_msg","context"
1,2025-10-12 00:43:46.963 -0500,log-api,heuristic,0.0,3,Log API started,"{""id"": 3, ""ts"": ""2025-10-12T05:43:46.955565+00:00"", ""level"": ""INFO"", ""context"": null, ""message"": ""Log API started"", ""service"": ""log-api""}"
2,2025-10-12 00:44:00.813 -0500,invoice-controller,"keyword:8.0,actor_novel,level_error",4.0,4,Fatal exception: DB connection refused,"{""id"": 4, ""ts"": ""2025-10-12T05:44:00.809676+00:00"", ""level"": ""ERROR"", ""context"": {""user"": ""dsaa""}, ""message"": ""Fatal exception: DB connection refused"", ""service"": ""invoice-controller""}"
3,2025-10-12 00:44:00.839 -0500,log-heuristic,"keyword:3.0,actor_novel,level_error",4.0,5,"[HEURISTIC] log anómalo score=4.00 reasons=keyword:8.0,actor_novel,level_error","{""id"": 5, ""ts"": ""2025-10-12T05:44:00.828633+00:00"", ""level"": ""ERROR"", ""context"": {""id"": 4, ""ts"": ""2025-10-12T05:44:00.809676+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""user"": ""dsaa""}, ""message"": ""Fatal exception: DB connection refused"", ""reasons"": [""keyword:8.0"", ""actor_novel"", ""level_error""], ""service"": ""invoice-controller""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:8.0,actor_novel,level_error"", ""service"": ""log-heuristic""}"
4,2025-10-12 00:44:00.852 -0500,log-heuristic,"keyword:3.0,actor_novel,level_error",4.0,6,"[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error","{""id"": 6, ""ts"": ""2025-10-12T05:44:00.846011+00:00"", ""level"": ""ERROR"", ""context"": {""id"": 5, ""ts"": ""2025-10-12T05:44:00.828633+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 4, ""ts"": ""2025-10-12T05:44:00.809676+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""user"": ""dsaa""}, ""message"": ""Fatal exception: DB connection refused"", ""reasons"": [""keyword:8.0"", ""actor_novel"", ""level_error""], ""service"": ""invoice-controller""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:8.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""service"": ""log-heuristic""}"
5,2025-10-12 00:44:00.864 -0500,log-heuristic,"keyword:3.0,actor_novel,level_error",4.0,7,"[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error","{""id"": 7, ""ts"": ""2025-10-12T05:44:00.858584+00:00"", ""level"": ""ERROR"", ""context"": {""id"": 6, ""ts"": ""2025-10-12T05:44:00.846011+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 5, ""ts"": ""2025-10-12T05:44:00.828633+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 4, ""ts"": ""2025-10-12T05:44:00.809676+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""user"": ""dsaa""}, ""message"": ""Fatal exception: DB connection refused"", ""reasons"": [""keyword:8.0"", ""actor_novel"", ""level_error""], ""service"": ""invoice-controller""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:8.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""service"": ""log-heuristic""}"
6,2025-10-12 00:44:00.876 -0500,log-heuristic,"keyword:3.0,actor_novel,level_error",4.0,8,"[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error","{""id"": 8, ""ts"": ""2025-10-12T05:44:00.869664+00:00"", ""level"": ""ERROR"", ""context"": {""id"": 7, ""ts"": ""2025-10-12T05:44:00.858584+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 6, ""ts"": ""2025-10-12T05:44:00.846011+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 5, ""ts"": ""2025-10-12T05:44:00.828633+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 4, ""ts"": ""2025-10-12T05:44:00.809676+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""user"": ""dsaa""}, ""message"": ""Fatal exception: DB connection refused"", ""reasons"": [""keyword:8.0"", ""actor_novel"", ""level_error""], ""service"": ""invoice-controller""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:8.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""service"": ""log-heuristic""}"
7,2025-10-12 00:44:00.888 -0500,log-heuristic,"keyword:3.0,actor_novel,level_error",4.0,9,"[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error","{""id"": 9, ""ts"": ""2025-10-12T05:44:00.882112+00:00"", ""level"": ""ERROR"", ""context"": {""id"": 8, ""ts"": ""2025-10-12T05:44:00.869664+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 7, ""ts"": ""2025-10-12T05:44:00.858584+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 6, ""ts"": ""2025-10-12T05:44:00.846011+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 5, ""ts"": ""2025-10-12T05:44:00.828633+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 4, ""ts"": ""2025-10-12T05:44:00.809676+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""user"": ""dsaa""}, ""message"": ""Fatal exception: DB connection refused"", ""reasons"": [""keyword:8.0"", ""actor_novel"", ""level_error""], ""service"": ""invoice-controller""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:8.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""service"": ""log-heuristic""}"
8,2025-10-12 00:44:00.899 -0500,log-heuristic,"keyword:3.0,actor_novel,level_error",4.0,10,"[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error","{""id"": 10, ""ts"": ""2025-10-12T05:44:00.893056+00:00"", ""level"": ""ERROR"", ""context"": {""id"": 9, ""ts"": ""2025-10-12T05:44:00.882112+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 8, ""ts"": ""2025-10-12T05:44:00.869664+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 7, ""ts"": ""2025-10-12T05:44:00.858584+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 6, ""ts"": ""2025-10-12T05:44:00.846011+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 5, ""ts"": ""2025-10-12T05:44:00.828633+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 4, ""ts"": ""2025-10-12T05:44:00.809676+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""user"": ""dsaa""}, ""message"": ""Fatal exception: DB connection refused"", ""reasons"": [""keyword:8.0"", ""actor_novel"", ""level_error""], ""service"": ""invoice-controller""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:8.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""service"": ""log-heuristic""}"
9,2025-10-12 00:44:00.910 -0500,log-heuristic,"keyword:3.0,actor_novel,level_error",4.0,11,"[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error","{""id"": 11, ""ts"": ""2025-10-12T05:44:00.904532+00:00"", ""level"": ""ERROR"", ""context"": {""id"": 10, ""ts"": ""2025-10-12T05:44:00.893056+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 9, ""ts"": ""2025-10-12T05:44:00.882112+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 8, ""ts"": ""2025-10-12T05:44:00.869664+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 7, ""ts"": ""2025-10-12T05:44:00.858584+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 6, ""ts"": ""2025-10-12T05:44:00.846011+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 5, ""ts"": ""2025-10-12T05:44:00.828633+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 4, ""ts"": ""2025-10-12T05:44:00.809676+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""user"": ""dsaa""}, ""message"": ""Fatal exception: DB connection refused"", ""reasons"": [""keyword:8.0"", ""actor_novel"", ""level_error""], ""service"": ""invoice-controller""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:8.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""service"": ""log-heuristic""}"
10,2025-10-12 00:44:00.922 -0500,log-heuristic,"keyword:3.0,actor_novel,level_error",4.0,12,"[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error","{""id"": 12, ""ts"": ""2025-10-12T05:44:00.916565+00:00"", ""level"": ""ERROR"", ""context"": {""id"": 11, ""ts"": ""2025-10-12T05:44:00.904532+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 10, ""ts"": ""2025-10-12T05:44:00.893056+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 9, ""ts"": ""2025-10-12T05:44:00.882112+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 8, ""ts"": ""2025-10-12T05:44:00.869664+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 7, ""ts"": ""2025-10-12T05:44:00.858584+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 6, ""ts"": ""2025-10-12T05:44:00.846011+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 5, ""ts"": ""2025-10-12T05:44:00.828633+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""id"": 4, ""ts"": ""2025-10-12T05:44:00.809676+00:00"", ""level"": ""ERROR"", ""score"": 4.0, ""context"": {""user"": ""dsaa""}, ""message"": ""Fatal exception: DB connection refused"", ""reasons"": [""keyword:8.0"", ""actor_novel"", ""level_error""], ""service"": ""invoice-controller""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:8.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""reasons"": [""keyword:3.0"", ""actor_novel"", ""level_error""], ""service"": ""log-heuristic""}, ""message"": ""[HEURISTIC] log anómalo score=4.00 reasons=keyword:3.0,actor_novel,level_error"", ""service"": ""log-heuristic""}"
